replicate,rank,top-1320 model,top-1320 acquired
1,0,0.075,0.0
1,1,0.025757575757575757,0.0
1,2,0.07651515151515151,0.0
1,3,0.06363636363636363,0.0015151515151515152
1,4,0.06666666666666667,0.0015151515151515152
1,5,0.08333333333333333,0.0022727272727272726
2,0,0.0022727272727272726,0.0
2,1,0.020454545454545454,0.0
2,2,0.02878787878787879,0.0
2,3,0.007575757575757576,0.0
2,4,0.031818181818181815,0.0
2,5,0.03409090909090909,0.0
3,0,0.016666666666666666,0.0
3,1,0.07196969696969698,0.0
3,2,0.08333333333333333,0.0
3,3,0.14924242424242423,0.0022727272727272726
3,4,0.15378787878787878,0.005303030303030303
3,5,0.10227272727272728,0.006060606060606061
4,0,0.029545454545454545,0.0
4,1,0.022727272727272728,0.0007575757575757576
4,2,0.07424242424242425,0.0015151515151515152
4,3,0.05,0.003787878787878788
4,4,0.05,0.006818181818181818
4,5,0.09393939393939393,0.00909090909090909
5,0,0.09242424242424242,0.0
5,1,0.06666666666666667,0.0007575757575757576
5,2,0.08484848484848485,0.0007575757575757576
5,3,0.07348484848484849,0.0022727272727272726
5,4,0.10681818181818181,0.004545454545454545
5,5,0.1159090909090909,0.006818181818181818
6,0,0.07727272727272727,0.0
6,1,0.075,0.0
6,2,0.11515151515151516,0.0
6,3,0.12954545454545455,0.0007575757575757576
6,4,0.12575757575757576,0.003787878787878788
6,5,0.13863636363636364,0.012121212121212121
7,0,0.035606060606060606,0.0
7,1,0.03787878787878788,0.0
7,2,0.015151515151515152,0.0
7,3,0.016666666666666666,0.0
7,4,0.012121212121212121,0.0015151515151515152
7,5,0.015909090909090907,0.0015151515151515152
8,0,0.00909090909090909,0.0
8,1,0.02878787878787879,0.0
8,2,0.11212121212121212,0.0
8,3,0.08484848484848485,0.0015151515151515152
8,4,0.0659090909090909,0.004545454545454545
8,5,0.15075757575757576,0.010606060606060607
9,0,0.006060606060606061,0.0
9,1,0.0007575757575757576,0.0
9,2,0.0,0.0
9,3,0.0007575757575757576,0.0
9,4,0.006060606060606061,0.0
9,5,0.0022727272727272726,0.0
10,0,0.0,0.0
10,1,0.012878787878787878,0.0
10,2,0.05378787878787879,0.0
10,3,0.03636363636363636,0.0022727272727272726
10,4,0.04242424242424243,0.0022727272727272726
10,5,0.041666666666666664,0.003787878787878788
11,0,0.08787878787878788,0.0
11,1,0.07651515151515151,0.0
11,2,0.06060606060606061,0.0
11,3,0.075,0.0015151515151515152
11,4,0.13106060606060607,0.004545454545454545
11,5,0.14924242424242423,0.008333333333333333
12,0,0.0030303030303030303,0.0
12,1,0.03257575757575758,0.0
12,2,0.07424242424242425,0.0007575757575757576
12,3,0.051515151515151514,0.0015151515151515152
12,4,0.09848484848484848,0.0022727272727272726
12,5,0.075,0.005303030303030303
13,0,0.021212121212121213,0.0
13,1,0.07121212121212121,0.0
13,2,0.08257575757575758,0.0015151515151515152
13,3,0.09090909090909091,0.0030303030303030303
13,4,0.06212121212121212,0.009848484848484848
13,5,0.05454545454545454,0.009848484848484848
14,0,0.045454545454545456,0.0
14,1,0.04924242424242424,0.0015151515151515152
14,2,0.014393939393939395,0.004545454545454545
14,3,0.15681818181818183,0.004545454545454545
14,4,0.08484848484848485,0.007575757575757576
14,5,0.15075757575757576,0.007575757575757576
15,0,0.075,0.0
15,1,0.07651515151515151,0.0007575757575757576
15,2,0.04772727272727273,0.0007575757575757576
15,3,0.06287878787878788,0.0007575757575757576
15,4,0.03484848484848485,0.0007575757575757576
15,5,0.030303030303030304,0.0015151515151515152
16,0,0.02727272727272727,0.0007575757575757576
16,1,0.03636363636363636,0.0007575757575757576
16,2,0.045454545454545456,0.0007575757575757576
16,3,0.037121212121212124,0.0007575757575757576
16,4,0.04924242424242424,0.0015151515151515152
16,5,0.06212121212121212,0.0022727272727272726
17,0,0.014393939393939395,0.0
17,1,0.0,0.0
17,2,0.0,0.0
17,3,0.003787878787878788,0.0
17,4,0.0,0.0
17,5,0.0022727272727272726,0.0
18,0,0.03484848484848485,0.0
18,1,0.024242424242424242,0.0
18,2,0.011363636363636364,0.0
18,3,0.0946969696969697,0.0007575757575757576
18,4,0.12727272727272726,0.0022727272727272726
18,5,0.12196969696969696,0.006060606060606061
19,0,0.030303030303030304,0.0
19,1,0.03106060606060606,0.0
19,2,0.024242424242424242,0.0
19,3,0.045454545454545456,0.0
19,4,0.06212121212121212,0.0
19,5,0.015151515151515152,0.0007575757575757576
20,0,0.06666666666666667,0.0007575757575757576
20,1,0.09772727272727273,0.0015151515151515152
20,2,0.16515151515151516,0.008333333333333333
20,3,0.125,0.015909090909090907
20,4,0.12803030303030302,0.025
20,5,0.10984848484848485,0.03106060606060606
21,0,0.015909090909090907,0.0
21,1,0.005303030303030303,0.0
21,2,0.020454545454545454,0.0
21,3,0.008333333333333333,0.0
21,4,0.0007575757575757576,0.0
21,5,0.010606060606060607,0.0
22,0,0.02727272727272727,0.0
22,1,0.03787878787878788,0.0
22,2,0.041666666666666664,0.0
22,3,0.048484848484848485,0.0022727272727272726
22,4,0.03333333333333333,0.005303030303030303
22,5,0.0446969696969697,0.006060606060606061
23,0,0.045454545454545456,0.0
23,1,0.023484848484848483,0.0
23,2,0.006818181818181818,0.0
23,3,0.025757575757575757,0.0
23,4,0.021212121212121213,0.0
23,5,0.022727272727272728,0.0
24,0,0.004545454545454545,0.0
24,1,0.04015151515151515,0.0
24,2,0.03939393939393939,0.0022727272727272726
24,3,0.08257575757575758,0.0022727272727272726
24,4,0.07272727272727272,0.003787878787878788
24,5,0.05757575757575758,0.003787878787878788
25,0,0.06515151515151515,0.0
25,1,0.08181818181818182,0.0
25,2,0.05757575757575758,0.0007575757575757576
25,3,0.05606060606060606,0.0007575757575757576
25,4,0.06287878787878788,0.004545454545454545
25,5,0.023484848484848483,0.006060606060606061
26,0,0.003787878787878788,0.0
26,1,0.0030303030303030303,0.0007575757575757576
26,2,0.006060606060606061,0.0007575757575757576
26,3,0.00909090909090909,0.0007575757575757576
26,4,0.009848484848484848,0.0015151515151515152
26,5,0.004545454545454545,0.0015151515151515152
27,0,0.12424242424242424,0.0007575757575757576
27,1,0.16742424242424242,0.0015151515151515152
27,2,0.1856060606060606,0.006060606060606061
27,3,0.20075757575757575,0.013636363636363636
27,4,0.20909090909090908,0.02727272727272727
27,5,0.20606060606060606,0.03484848484848485
28,0,0.01818181818181818,0.0
28,1,0.04924242424242424,0.0007575757575757576
28,2,0.07196969696969698,0.0015151515151515152
28,3,0.07878787878787878,0.0022727272727272726
28,4,0.0803030303030303,0.0022727272727272726
28,5,0.13863636363636364,0.005303030303030303
29,0,0.0,0.0
29,1,0.04090909090909091,0.0
29,2,0.0659090909090909,0.0
29,3,0.10909090909090909,0.0015151515151515152
29,4,0.20833333333333334,0.013636363636363636
29,5,0.22424242424242424,0.02196969696969697
30,0,0.010606060606060607,0.0
30,1,0.038636363636363635,0.0
30,2,0.05227272727272727,0.0022727272727272726
30,3,0.038636363636363635,0.0030303030303030303
30,4,0.06515151515151515,0.003787878787878788
30,5,0.07727272727272727,0.006818181818181818
